               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.062539,            0.022326,                   0,            0.010431,                   1,            0.012438,           0.0035431,            0.030457,            0.020132,                   0,          0.00045433,          0.00045433,            0.093554
                  70,            0.070055,            0.029917,                   0,            0.012778,                 0.5,            0.012558,           0.0062101,            0.028685,            0.020058,                   0,          0.00045745,          0.00045745,            0.093457
                  71,            0.046021,            0.019721,                   0,            0.016378,                 0.5,            0.016285,           0.0083224,            0.028433,            0.019953,                   0,          0.00046047,          0.00046047,             0.09336
                  72,            0.050121,            0.021145,                   0,            0.024752,                 0.5,            0.018982,            0.012253,             0.03048,            0.019321,                   0,          0.00046339,          0.00046339,            0.093263
                  73,            0.066892,            0.027927,                   0,            0.036098,                 0.5,            0.028614,            0.018891,            0.031605,            0.018985,                   0,          0.00046621,          0.00046621,            0.093166
                  74,            0.069067,            0.027695,                   0,            0.034544,                 0.5,            0.032032,            0.017661,            0.030996,             0.01894,                   0,          0.00046894,          0.00046894,            0.093069
                  75,            0.048922,            0.022046,                   0,            0.055379,                   1,            0.056857,            0.023308,            0.031569,            0.018662,                   0,          0.00047156,          0.00047156,            0.092972
                  76,            0.062198,            0.024325,                   0,            0.065938,                   1,            0.071071,             0.02473,            0.032646,            0.018451,                   0,          0.00047409,          0.00047409,            0.092874
                  77,            0.069531,            0.024594,                   0,            0.018869,                   1,             0.01932,           0.0096602,              0.0391,            0.018361,                   0,          0.00047651,          0.00047651,            0.092777
                  78,            0.045371,            0.025097,                   0,            0.025273,                   1,             0.02519,           0.0070642,            0.042327,            0.017724,                   0,          0.00047884,          0.00047884,            0.092679
                  79,            0.066572,            0.025731,                   0,            0.049319,                   1,            0.051026,           0.0066919,            0.038997,            0.017553,                   0,          0.00048107,          0.00048107,            0.092581
